from_city,to_city,price,duration
New York,Beijing,612.06,686
Beijing,Sydney,1662.68,500
Dubai,Hong Kong,1413.45,610
Moscow,Barcelona,425.28,80
Hong Kong,Chicago,1711.27,847
Paris,Madrid,1750.38,803
Paris,Rome,1541.64,149
Madrid,Vienna,1420.26,504
Toronto,San Francisco,740.75,887
Rome,London,1238.65,332
Toronto,Sydney,766.97,193
Paris,Toronto,740.73,194
Beijing,Singapore,1153.42,306
Sydney,Madrid,249.66,99
Beijing,Barcelona,194.35,452
San Francisco,London,1578.88,164
Hong Kong,London,951.86,777
Barcelona,Dubai,646.86,829
Amman,Berlin,1967.84,510
Barcelona,Amman,909.99,404
London,Berlin,799.63,869
San Francisco,New York,596.01,705
Moscow,Rome,1629.12,292
Dubai,Beijing,475.3,663
Tokyo,Moscow,259.3,525
Moscow,Chicago,1634.53,609
Sydney,Houston,1786,827
Istanbul,Tokyo,1617.01,206
Madrid,Mumbai,1324.55,315
Rome,Mumbai,1741.12,155
Rome,Chicago,789.44,743
Barcelona,Toronto,1335.16,104
London,Rome,381.47,878
Barcelona,Istanbul,914.21,63
Berlin,London,1441.16,288
Istanbul,Paris,774.21,659
Beijing,San Francisco,1521.02,295
Barcelona,Sydney,1003.24,851
Mumbai,London,1451.88,799
Madrid,Seoul,1557.98,615
Barcelona,Hong Kong,370.64,652
New York,San Francisco,472.35,854
Madrid,New York,901.2,638
Bangkok,Vienna,1497.9,481
Bangkok,Vienna,306.9,829
Toronto,Singapore,1173.88,509
Mumbai,New York,1374,785
Tokyo,Houston,1184.08,765
Barcelona,Rome,1251.81,496
Amsterdam,New York,1108.39,868
Rome,Paris,1984.34,529
Vienna,Istanbul,1918.33,512
Bangkok,Hong Kong,720.27,802
Berlin,Sydney,1601.38,454
Tokyo,Dubai,1306.78,870
Paris,Seoul,705.05,242
Beijing,San Francisco,1511.68,141
Toronto,Mumbai,649.41,833
Tokyo,Beijing,1714.16,152
Toronto,Sydney,1654.09,75
Berlin,Seoul,1943.61,464
Dubai,Sydney,801.74,503
Toronto,Amsterdam,850.23,331
San Francisco,New York,467.01,127
Barcelona,Singapore,1703.12,686
Rome,San Francisco,1140.03,642
Amsterdam,San Francisco,476.03,633
Bangkok,Seoul,1215.5,480
Berlin,Madrid,822.06,731
Paris,Hong Kong,1692.83,384
Houston,San Francisco,1863.52,693
Amman,Seoul,1518.2,79
