City,Fun Fact
Dubai,"Dubai is home to the tallest building in the world, the Burj Khalifa."
Amman,"Amman, the capital of Jordan, is built on seven hills, each known as a 'Jabal'."
London,"London was the first city to have an underground subway system, known as the Tube."
Paris,Paris is known as the 'City of Light' because it was one of the first cities to use street lighting.
Los Angeles,"Los Angeles is the entertainment capital of the world, home to Hollywood."
New York,New York's Central Park is larger than the principality of Monaco.
Tokyo,Tokyo is the most populous metropolitan area in the world.
Beijing,"Beijing is home to the Forbidden City, the largest palace complex in the world."
Sydney,Sydney Opera House is one of the most recognized buildings globally.
Toronto,Toronto's CN Tower was the world's tallest free-standing structure for 32 years.
Rome,Rome's Colosseum is the largest ancient amphitheater ever built.
Berlin,Berlin has more bridges than Venice.
Madrid,"Madrid is home to the oldest restaurant in the world, Sobrino de Botín."
Istanbul,Istanbul is the only city in the world that spans two continents: Europe and Asia.
Seoul,Seoul's Lotte World Tower is the 5th tallest building in the world.
Singapore,Singapore is one of only three surviving city-states in the world.
Moscow,Moscow's metro stations are often referred to as 'underground palaces'.
Mumbai,"Mumbai is home to the world's most expensive private residence, Antilia."
Bangkok,Bangkok’s official name is the longest city name in the world.
San Francisco,San Francisco’s Golden Gate Bridge is one of the most photographed bridges in the world.
Chicago,Chicago is known as the birthplace of the modern skyscraper.
Houston,Houston is home to the largest medical center in the world.
Barcelona,Barcelona’s Sagrada Família has been under construction since 1882.
Amsterdam,Amsterdam has more bicycles than people.
Vienna,Vienna is known as the City of Music because of its musical legacy.
Hong Kong,Hong Kong has the most skyscrapers in the world.
